chunk_id,source_article,subject,subject_type,predicate,object,object_type,evidence_span
9,Breast cancer,China,organisation,has_survival_rate,82%,other,"In China, this is 82%."
9,Breast cancer,India,organisation,has_survival_rate,66%,other,India saw a 66% survival rate.
9,Breast cancer,Breast cancer,disease,has_survival_rate,92%,other,"Overall, 92% of women diagnosed with breast cancer in the United States survive at least five years from diagnosis."
9,Breast cancer,Breast cancer,disease,has_survival_rate,100%,other,Those whose tumor(s) are completely confined to the breast (nearly two thirds of cases) have the best prognoses – 100% survive at least five years.
9,Breast cancer,Breast cancer,disease,has_survival_rate,33%,other,Those whose tumors have metastasized to distant sites have relatively poor prognoses – 33% survive at least five years from the time of diagnosis.
9,Breast cancer,Triple-negative breast cancer,disease,has_survival_rate,78%–92%,other,Those with triple-negative breast cancer have an overall five-year survival rate of 78% – 92% for those whose tumors are confined to the breast.
9,Breast cancer,Triple-negative breast cancer,disease,has_survival_rate,15%,other,15% for those with metastases.
9,Breast cancer,Inflammatory breast cancer,disease,has_survival_rate,40%,other,Those with inflammatory breast cancer are diagnosed after the cancer has already spread to the skin of the breast. They have an overall five-year survival rate of 40%; 22% for those with metastases.
9,Breast cancer,Inflammatory breast cancer,disease,is_diagnosed_after_spreading_to_skin,breast skin,other,Those with inflammatory breast cancer are diagnosed after the cancer has already spread to the skin of the breast.
9,Breast cancer,"Tubular, mucinous, or medullary tumors",disease,has_better_prognosis,breast cancer,disease,"The relatively rare tumors with tubular, mucinous, or medullary growth tend to have better prognoses."
9,Breast cancer,Breast cancer before age 35,disease,is_associated_with,genetic predisposition to aggressive cancer,other,"Breast cancer before age 35 is rare, and is more likely to be associated with genetic predisposition to aggressive cancer."
9,Breast cancer,Breast cancer in those aged over 75,disease,has_poorer_prognosis,breast cancer,disease,"Conversely, breast cancer in those aged over 75 is associated with poorer prognosis."
3,Breast cancer,diagnostic mammogram,other,used_to_confirm,suspected tumor,other,additional imaging – typically a second 'diagnostic' mammogram and ultrasound – to confirm its presence and location
3,Breast cancer,ultrasound,other,used_to_confirm,suspected tumor,other,additional imaging – typically a second 'diagnostic' mammogram and ultrasound – to confirm its presence and location
3,Breast cancer,biopsy,other,taken_of,suspected tumor,other,A biopsy is then taken of the suspected tumor
3,Breast cancer,biopsy,other,performed_by,core needle biopsy,other,Breast biopsy is typically done by core needle biopsy
3,Breast cancer,biopsy,other,performed_by,fine-needle aspiration,other,Suspected tumors that appear to be filled with fluid are often instead sampled by fine-needle aspiration
3,Breast cancer,biopsy,other,percentage_positive_for,cancer,disease,Around 10–20% of breast biopsies are positive for cancer
3,Breast cancer,biopsied breast masses,other,caused_by,fibrocystic breast changes,disease,Most biopsied breast masses are instead caused by fibrocystic breast changes
5,Breast cancer,breast cancer,disease,depends_on,affected person's health,other,The management of breast cancer depends on the affected person's health
5,Breast cancer,breast cancer,disease,depends_on,cancer case's molecular characteristics,other,the cancer case's molecular characteristics
5,Breast cancer,breast cancer,disease,depends_on,tumor spread at the time of diagnosis,other,how far the tumor has spread at the time of diagnosis
6,Breast cancer,Breast cancer,disease,treated_by,Surgery,other,Those whose tumors have not spread beyond the breast often undergo surgery to remove the tumor and some surrounding breast tissue.
6,Breast cancer,Surgery,other,includes,Lumpectomy,other,"The surgery method is typically chosen to spare as much healthy breast tissue as possible, removing just the tumor (lumpectomy) or a larger part of the breast (partial mastectomy)."
6,Breast cancer,Surgery,other,includes,Partial mastectomy,other,"The surgery method is typically chosen to spare as much healthy breast tissue as possible, removing just the tumor (lumpectomy) or a larger part of the breast (partial mastectomy)."
6,Breast cancer,Surgery,other,includes,Full mastectomy,other,"Those with large or multiple tumors, high genetic risk of subsequent cancers, or who are unable to receive radiation therapy may instead opt for full removal of the affected breast(s) (full mastectomy)."
6,Breast cancer,Surgery,other,includes,Sentinel lymph node biopsy,other,"To reduce the risk of cancer spreading, women will often have the nearest lymph node removed in a procedure called sentinel lymph node biopsy."
6,Breast cancer,Breast cancer,disease,treated_by,Radiotherapy,other,"After surgery, many undergo radiotherapy to decrease the chance of cancer recurrence."
6,Breast cancer,Radiotherapy,other,includes,External beam radiotherapy,other,"Radiotherapy for breast cancer is typically delivered via external beam radiotherapy, where a device focuses radiation beams onto the targeted parts of the body."
6,Breast cancer,Radiotherapy,other,includes,Brachytherapy,other,"Instead, some undergo brachytherapy, where radioactive material is placed into a device inserted at the surgical site the tumor was removed from."
6,Breast cancer,Breast cancer,disease,treated_by,Chemotherapy,other,Chemotherapy reduces the chance of cancer recurring in the next ten years by around a third.
8,Breast cancer,Supportive care,other,alleviates,side effects,other,Many breast cancer therapies have side effects that can be alleviated with appropriate supportive care.
8,Breast cancer,Chemotherapy,other,causes,hair loss,other,"Chemotherapy causes hair loss, nausea, and vomiting in nearly everyone who receives it."
8,Breast cancer,Chemotherapy,other,causes,nausea,other,"Chemotherapy causes hair loss, nausea, and vomiting in nearly everyone who receives it."
8,Breast cancer,Chemotherapy,other,causes,vomiting,other,"Chemotherapy causes hair loss, nausea, and vomiting in nearly everyone who receives it."
8,Breast cancer,Antiemetic drugs,drug,alleviates,nausea,other,Antiemetic drugs can alleviate nausea and vomiting; cooling the scalp with a cold cap during chemotherapy treatments may reduce hair loss.
8,Breast cancer,Antiemetic drugs,drug,alleviates,vomiting,other,Antiemetic drugs can alleviate nausea and vomiting; cooling the scalp with a cold cap during chemotherapy treatments may reduce hair loss.
8,Breast cancer,Cold cap,other,reduces,hair loss,other,Cooling the scalp with a cold cap during chemotherapy treatments may reduce hair loss.
8,Breast cancer,Chemotherapy,other,causes,cognitive issues,other,Many complain of cognitive issues during chemotherapy treatment.
8,Breast cancer,Endocrine therapy,other,causes,hot flashes,other,"Those on endocrine therapy often experience hot flashes, muscle and joint pain, and vaginal dryness/discomfort that can lead to issues having sex."
8,Breast cancer,Endocrine therapy,other,causes,muscle and joint pain,other,"Those on endocrine therapy often experience hot flashes, muscle and joint pain, and vaginal dryness/discomfort that can lead to issues having sex."
8,Breast cancer,Endocrine therapy,other,causes,vaginal dryness/discomfort,other,"Those on endocrine therapy often experience hot flashes, muscle and joint pain, and vaginal dryness/discomfort that can lead to issues having sex."
8,Breast cancer,Antidepressants,drug,alleviates,hot flashes,other,Around half of women have their hot flashes alleviated by taking antidepressants; pain can be treated with physical therapy and nonsteroidal anti-inflammatory drugs; counseling and use of personal lubricants can improve sexual issues.
8,Breast cancer,Physical therapy,other,treats,pain,other,Around half of women have their hot flashes alleviated by taking antidepressants; pain can be treated with physical therapy and nonsteroidal anti-inflammatory drugs; counseling and use of personal lubricants can improve sexual issues.
10,Breast cancer,Early menstruation (before age 12),other,increases_risk_of,Breast cancer,disease,Women who begin menstruating earlier (before age 12) or who undergo menopause later (after 51) are at increased risk of developing breast cancer.
10,Breast cancer,Late menopause (after 51),other,increases_risk_of,Breast cancer,disease,Women who begin menstruating earlier (before age 12) or who undergo menopause later (after 51) are at increased risk of developing breast cancer.
10,Breast cancer,Early childbirth (teenage),other,reduces_risk_of,Breast cancer,disease,Women who give birth early in life are protected from breast cancer – someone who gives birth as a teenager has around a 70% lower risk of developing breast cancer than someone who does not have children.
10,Breast cancer,Higher maternal age at first birth (after 35),other,increases_risk_of,Breast cancer,disease,"That protection wanes with higher maternal age at first birth, and disappears completely by age 35."
10,Breast cancer,Breastfeeding,other,reduces_risk_of,Breast cancer,disease,"Breastfeeding also reduces one's chance of developing breast cancer, with an approximately 4% reduction in breast cancer risk for every 12 months of breastfeeding experience."
10,Breast cancer,Lack of functioning ovaries,other,reduces_risk_of,Breast cancer,disease,"Those who lack functioning ovaries have reduced levels of estrogens, and therefore greatly reduced breast cancer risk."
10,Breast cancer,Hormone replacement therapy,drug,increases_risk_of,Breast cancer,disease,Hormone replacement therapy for treatment of menopause symptoms can also increase a woman's risk of developing breast cancer...
10,Breast cancer,Combined progesterone/estrogen therapy,drug,increases_risk_of,Breast cancer,disease,Combined progesterone/estrogen therapy increases breast cancer risk – approximately doubling one's risk after 6–7 years of treatment...
10,Breast cancer,Combined progesterone/estrogen therapy,drug,decreases_risk_of,Colorectal cancer,disease,...though the same therapy decreases the risk of colorectal cancer.
11,Breast cancer,Alcoholic beverages,chemical,increases_risk_of,Breast cancer,disease,"Drinking alcoholic beverages increases the risk of breast cancer, even among very light drinkers"
11,Breast cancer,Alcohol use,other,causes,Breast cancer,disease,"Globally, about one in ten cases of breast cancer is caused by women drinking alcoholic beverages"
11,Breast cancer,Obesity,disease,increases_risk_of,Breast cancer,disease,Obesity and diabetes increase the risk of breast cancer
11,Breast cancer,Diabetes,disease,increases_risk_of,Breast cancer,disease,Obesity and diabetes increase the risk of breast cancer
11,Breast cancer,High body mass index,other,causes,Breast cancer,disease,A high body mass index (BMI) causes 7% of breast cancers
11,Breast cancer,Diabetes,disease,causes,Breast cancer,disease,diabetes is responsible for 2%
11,Breast cancer,Rapid weight gain in adulthood,other,increases_risk_of,Breast cancer,disease,those who rapidly gain weight in adulthood are at higher risk than those who have been overweight since childhood
11,Breast cancer,Excess fat in the midriff,other,increases_risk_of,Breast cancer,disease,excess fat in the midriff seems to induce a higher risk than excess weight carried in the lower body
12,Breast cancer,Family history of breast cancer,other,increases_risk_of,Breast cancer,disease,Around 10% of those with breast cancer have a family history of the disease or genetic factors that put them at higher risk.
12,Breast cancer,First-degree relative (mother or sister) diagnosed with breast cancer,other,increases_risk_of,Breast cancer,disease,Women who have had a first-degree relative (mother or sister) diagnosed with breast cancer are at a 30–50% increased risk of being diagnosed with breast cancer themselves.
12,Breast cancer,Zero affected relatives,other,increases_risk_of,Breast cancer,disease,"In those with zero, one or two affected relatives, the risk of breast cancer before the age of 80 is 7.8%, 13.3%, and 21.1% with a subsequent mortality from the disease of 2.3%, 4.2%, and 7.6% respectively."
12,Breast cancer,One affected relative,other,increases_risk_of,Breast cancer,disease,"In those with zero, one or two affected relatives, the risk of breast cancer before the age of 80 is 7.8%, 13.3%, and 21.1% with a subsequent mortality from the disease of 2.3%, 4.2%, and 7.6% respectively."
12,Breast cancer,Two affected relatives,other,increases_risk_of,Breast cancer,disease,"In those with zero, one or two affected relatives, the risk of breast cancer before the age of 80 is 7.8%, 13.3%, and 21.1% with a subsequent mortality from the disease of 2.3%, 4.2%, and 7.6% respectively."
12,Breast cancer,Pathogenic variant in BRCA1,gene,increases_risk_of,Breast cancer,disease,"Women with pathogenic variants in either gene have around a 70% chance of developing breast cancer in their lifetime, as well as an approximately 33% chance of developing ovarian cancer."
12,Breast cancer,Pathogenic variant in BRCA2,gene,increases_risk_of,Breast cancer,disease,"Women with pathogenic variants in either gene have around a 70% chance of developing breast cancer in their lifetime, as well as an approximately 33% chance of developing ovarian cancer."
12,Breast cancer,Pathogenic variant in PALB2,gene,increases_risk_of,Breast cancer,disease,Pathogenic variants in PALB2 – a gene whose product directly interacts with that of BRCA2 – also increase breast cancer risk; a woman with such a variant has around a 50% increased risk of developing breast cancer.
12,Breast cancer,p53,gene,causes,Li–Fraumeni syndrome,disease,"Variants in other tumor suppressor genes can also increase one's risk of developing breast cancer, namely p53 (causes Li–Fraumeni syndrome), PTEN (causes Cowden syndrome), and PALB1."
12,Breast cancer,PTEN,gene,causes,Cowden syndrome,disease,"Variants in other tumor suppressor genes can also increase one's risk of developing breast cancer, namely p53 (causes Li–Fraumeni syndrome), PTEN (causes Cowden syndrome), and PALB1."
13,Breast cancer,Estrogen receptor,gene,is_marker_for,breast cancer,disease,"Based on the existence or lack of molecular markers for the estrogen receptor (ER), progesterone receptor (PR), and human epidermal growth factor receptor 2 (ERBB2; formerly HER2), breast cancer is divided into three main categories."
13,Breast cancer,Progesterone receptor,gene,is_marker_for,breast cancer,disease,"Based on the existence or lack of molecular markers for the estrogen receptor (ER), progesterone receptor (PR), and human epidermal growth factor receptor 2 (ERBB2; formerly HER2), breast cancer is divided into three main categories."
13,Breast cancer,Human epidermal growth factor receptor 2,gene,is_marker_for,breast cancer,disease,"Based on the existence or lack of molecular markers for the estrogen receptor (ER), progesterone receptor (PR), and human epidermal growth factor receptor 2 (ERBB2; formerly HER2), breast cancer is divided into three main categories."
13,Breast cancer,Hormone receptor-positive/ERBB2-negative tumor,disease,is_subtype_of,breast cancer,disease,"About 70% of patients have hormone receptor-positive/ERBB2-negative tumours, which are the most prevalent type."
13,Breast cancer,Triple-negative breast cancer,disease,lacks,Estrogen receptor,gene,"About 15% of cases are triple-negative (lacking all three conventional markers), whereas 15%–20% of cases are ERBB2-positive."
13,Breast cancer,Triple-negative breast cancer,disease,lacks,Progesterone receptor,gene,"About 15% of cases are triple-negative (lacking all three conventional markers), whereas 15%–20% of cases are ERBB2-positive."
13,Breast cancer,Triple-negative breast cancer,disease,lacks,Human epidermal growth factor receptor 2,gene,"About 15% of cases are triple-negative (lacking all three conventional markers), whereas 15%–20% of cases are ERBB2-positive."
13,Breast cancer,Estrogen,chemical,promotes,breast cancer,disease,"Breast cancer is promoted by estrogen. This hormone activates the development of breast throughout puberty, menstrual cycles and pregnancy."
13,Breast cancer,Estrogen,chemical,causes,cell proliferation,other,The imbalance between estrogen and progesterone during the menstrual phases causes cell proliferation.
13,Breast cancer,Estrogen,chemical,increases,DNA damage,other,"Moreover, oxidative metabolites of estrogen can increase DNA damage and mutations."
13,Breast cancer,PI3K/AKT pathway,pathway,is_protective_against,cancer,disease,One of the protective pathways is the PI3K/AKT pathway; another is the RAS/MEK/ERK pathway.
13,Breast cancer,PTEN protein,gene,inhibits,PI3K/AKT pathway,pathway,"Normally, the PTEN protein turns off the PI3K/AKT pathway when the cell is ready for programmed cell death."
14,Breast cancer,Maintaining a healthy weight,other,reduces_risk_of,breast cancer,disease,Women can reduce their risk of breast cancer by maintaining a healthy weight...
14,Breast cancer,Reducing alcohol use,other,reduces_risk_of,breast cancer,disease,Women can reduce their risk of breast cancer by... reducing alcohol use...
14,Breast cancer,Increasing physical activity,other,reduces_risk_of,breast cancer,disease,Women can reduce their risk of breast cancer by... increasing physical activity...
14,Breast cancer,Breastfeeding,other,reduces_risk_of,breast cancer,disease,Women can reduce their risk of breast cancer by... breastfeeding.
14,Breast cancer,Moderate exercise,other,reduces_risk_of,breast cancer,disease,The benefits with moderate exercise... are seen at all age groups...
14,Breast cancer,High levels of physical activity,other,reduces_risk_of,breast cancer,disease,High levels of physical activity reduce the risk of breast cancer by about 14%.
14,Breast cancer,Regular physical activity,other,reduces_risk_of,cardiovascular disease,disease,Strategies that encourage regular physical activity... reduced risks of cardiovascular disease...
14,Breast cancer,Regular physical activity,other,reduces_risk_of,diabetes,disease,Strategies that encourage regular physical activity... reduced risks of diabetes.
14,Breast cancer,American Cancer Society,organisation,advised,"diet high in vegetables, fruits, whole grains, and legumes",other,The American Cancer Society and the American Society of Clinical Oncology advised...
14,Breast cancer,Soluble fiber,chemical,reduces_risk_of,breast cancer,disease,Eating foods rich in soluble fiber contributes to reducing breast cancer risk.
14,Breast cancer,Citrus fruit,chemical,reduces_risk_of,breast cancer,disease,High intake of citrus fruit has been associated with a 10% reduction in the risk...
14,Breast cancer,Marine omega-3 polyunsaturated fatty acids,chemical,reduces_risk_of,breast cancer,disease,Marine omega-3 polyunsaturated fatty acids appear to reduce the risk.
14,Breast cancer,Soy-based foods,chemical,reduces_risk_of,breast cancer,disease,High consumption of soy-based foods may reduce risk.
14,Breast cancer,Preventive mastectomy,other,reduces_risk_of,breast cancer,disease,Removal of the breasts... reduces the risk of developing breast cancer by more than 95%.
14,Breast cancer,Preventive mastectomy,other,reduces_risk_of,death from breast cancer,disease,In women genetically predisposed... reduces their risk of dying from breast cancer.
14,Breast cancer,Contralateral risk-reducing mastectomy,other,reduces_risk_of,cancer in the second breast,disease,Removing the second breast... may reduce the risk of cancer in the second breast.
15,Breast cancer,Selective estrogen receptor modulators,drug,reduces_risk_of,breast_cancer,disease,Selective estrogen receptor modulators (SERMs) reduce the risk of breast cancer
15,Breast cancer,Selective estrogen receptor modulators,drug,increases_risk_of,thromboembolism,disease,but increase the risk of thromboembolism and endometrial cancer
15,Breast cancer,Selective estrogen receptor modulators,drug,increases_risk_of,endometrial_cancer,disease,but increase the risk of thromboembolism and endometrial cancer
15,Breast cancer,Aromatase inhibitors,drug,more_effective_than,Selective estrogen receptor modulators,drug,Aromatase inhibitors (such as exemestane and anastrozole) may be more effective than SERMs (such as tamoxifen) at reducing breast cancer risk
15,Breast cancer,Aromatase inhibitors,drug,not_associated_with_increased_risk_of,endometrial_cancer,disease,they are not associated with an increased risk of endometrial cancer and thromboembolism
15,Breast cancer,Aromatase inhibitors,drug,not_associated_with_increased_risk_of,thromboembolism,disease,they are not associated with an increased risk of endometrial cancer and thromboembolism
15,Breast cancer,Breast_cancer,disease,accounts_for,30%_of_cancer_cases_in_women,other,"Breast cancer is the most common invasive cancer in women in most countries, accounting for 30% of cancer cases in women"
16,Breast cancer,Breast cancer,disease,described_in,ancient documents,organisation,"Because of its visibility, breast cancer was the form of cancer most often described in ancient documents."
16,Breast cancer,Breast cancer,disease,treated_by,cauterization,other,The Edwin Smith Papyrus describes eight cases of tumors or ulcers of the breast that were treated by cauterization.
16,Breast cancer,Edwin Smith Papyrus,organisation,describes,tumors or ulcers of the breast,disease,The Edwin Smith Papyrus describes eight cases of tumors or ulcers of the breast that were treated by cauterization.
16,Breast cancer,Ancient medicine,organisation,based_on,humoralism,pathway,"Ancient medicine, from the time of the Greeks through the 17th century, was based on humoralism."
17,Breast cancer,Improvements in sanitation and control of deadly infectious diseases,other,resulted_in,dramatic increases in lifespan,other,improvements in sanitation and control of deadly infectious diseases resulted in dramatic increases in lifespan.
17,Breast cancer,William Stewart Halsted,other,started_performing,radical mastectomies,other,William Stewart Halsted started performing radical mastectomies in 1882
17,Breast cancer,Radical mastectomies,other,involved_removing,"both breasts, associated lymph nodes, and the underlying chest muscles",other,"The Halsted radical mastectomy often involved removing both breasts, associated lymph nodes, and the underlying chest muscles."
17,Breast cancer,Halsted radical mastectomy,other,increased,20-year survival rates from 10% to 50%,other,"Before the advent of the Halsted radical mastectomy, 20-year survival rates were only 10%; Halsted's surgery raised that rate to 50%."
18,Breast cancer,breast cancer,disease,discussed_in_hushed_tones,20th century,other,"Before the 20th century, breast cancer was feared and discussed in hushed tones, as if it were shameful."
18,Breast cancer,American Society for the Control of Cancer,organisation,ran,Women's Field Army,organisation,"The 'Women's Field Army', run by the American Society for the Control of Cancer (later the American Cancer Society) during the 1930s and 1940s was one of the first organized campaigns."
18,Breast cancer,Reach to Recovery,organisation,developed,post-mastectomy support,other,"In 1952, the first peer-to-peer support group, called 'Reach to Recovery', began providing post-mastectomy, in-hospital visits from women who had survived breast cancer."
18,Breast cancer,breast cancer movement,organisation,developed_from,feminist movements,organisation,The breast cancer movement of the 1980s and 1990s developed out of the larger feminist movements and women's health movement of the 20th century.
